rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.197589,0.086078,9.829968,0.017186,0.010438,-0.012767,0.000000,0.000000
-0.197354,0.085944,9.830297,-0.006249,-0.014063,-0.004245,0.000000,0.000000
-0.197132,0.085818,9.830478,0.009729,0.001916,0.008538,0.000000,0.000000
-0.196930,0.085602,9.830598,0.005468,0.012568,-0.004245,0.000000,0.000000
-0.196868,0.085414,9.830676,-0.010511,0.009372,-0.005310,0.000000,0.000000
-0.196824,0.085183,9.830894,0.001207,0.007242,-0.001049,0.000000,0.000000
-0.196813,0.084931,9.830958,0.000142,0.000850,0.008538,0.000000,0.000000
-0.196684,0.084725,9.831053,0.002273,0.017894,0.000016,0.000000,0.000000
-0.196661,0.084515,9.831184,-0.003054,-0.003411,0.003212,0.000000,0.000000
-0.196511,0.084252,9.831371,0.018252,-0.004476,0.002147,0.000000,0.000000
-0.196378,0.083945,9.831512,0.018252,0.005111,0.012799,0.000000,0.000000
-0.196157,0.083651,9.831636,0.006534,0.002981,-0.002114,0.000000,0.000000
-0.196032,0.083366,9.831715,0.003338,-0.014063,0.007473,0.000000,0.000000
-0.195840,0.083087,9.831785,0.007599,-0.014063,-0.002114,0.000000,0.000000
-0.195765,0.082866,9.831863,-0.006249,0.002981,0.012799,0.000000,0.000000
-0.195682,0.082606,9.831894,-0.000923,0.004046,0.011734,0.000000,0.000000
-0.195718,0.082418,9.831940,0.019317,-0.001280,0.011734,0.000000,0.000000
-0.195717,0.082289,9.832040,0.003338,0.002981,0.020256,0.000000,0.000000
-0.195749,0.082152,9.832068,-0.006249,-0.002346,0.010669,0.000000,0.000000
-0.195637,0.082059,9.832057,0.019317,0.020025,-0.012767,0.000000,0.000000
-0.195645,0.082100,9.832113,-0.006249,-0.001280,0.003212,0.000000,0.000000
-0.195820,0.082276,9.832150,0.017186,0.015764,0.006408,0.000000,0.000000
-0.195987,0.082382,9.832166,-0.000923,0.006177,0.010669,0.000000,0.000000
-0.195978,0.082402,9.832210,0.012925,-0.027912,-0.005310,0.000000,0.000000
-0.196011,0.082430,9.832295,0.017186,-0.005541,-0.014898,0.000000,0.000000
-0.196070,0.082497,9.832316,0.007599,0.000850,-0.003180,0.000000,0.000000
-0.196148,0.082560,9.832359,0.009729,0.028547,0.000016,0.000000,0.000000
-0.196187,0.082548,9.832437,0.016121,-0.001280,-0.014898,0.000000,0.000000
-0.196159,0.082608,9.832533,-0.000923,0.011503,-0.008506,0.000000,0.000000
-0.196127,0.082743,9.832617,0.012925,0.006177,-0.001049,0.000000,0.000000
